step,type,amount,nameOrig,oldbalanceOrg,nameDest,oldbalanceDest,newbalanceOrig,newbalanceDest,isFraud
3,CASH_IN,167500.94,C19270,95914.17,C80543,173513.29,0.0,341014.23,0
51,CASH_IN,157927.14,C93261,56507.02,C86786,961078.76,0.0,1119005.9,0
7,PAYMENT,15294.3,C69981,107801.57,C10295,160048.02,92507.27,175342.31999999998,0
21,CASH_OUT,89083.7,C20070,59991.19,C80795,214523.56,0.0,303607.26,0
73,PAYMENT,6855.76,C51208,70336.38,C85813,5495.95,63480.62,12351.71,0
39,CASH_IN,7755.29,C49620,105229.31,C10952,23514.97,97474.02,31270.260000000002,0
18,CASH_OUT,160745.32,C13939,24937.33,C87789,21332.5,0.0,182077.82,0
4,PAYMENT,63587.95,C93748,28264.46,C44933,93311.31,0.0,156899.26,0
89,CASH_IN,261100.2,C47275,25313.15,C26256,160017.72,0.0,421117.92000000004,0
60,CASH_OUT,65032.19,C93300,60912.32,C78109,76984.88,0.0,142017.07,0
14,CASH_IN,164485.77,C59362,32923.56,C85787,21638.81,0.0,186124.58,0
9,PAYMENT,101822.71,C56399,147674.37,C90125,148861.89,45851.65999999999,250684.60000000003,0
90,CASH_IN,56317.12,C93693,2017.71,C87327,139255.29,0.0,195572.41,0
53,CASH_OUT,80939.11,C70371,37193.52,C16510,147170.21,0.0,228109.32,0
2,CASH_OUT,272157.32,C38682,243240.44,C78408,144756.95,0.0,416914.27,0
84,CASH_IN,7888.73,C67047,166638.14,C67562,665526.85,158749.41,673415.58,0
92,CASH_OUT,75389.76,C65870,427060.43,C72677,18399.86,351670.67,93789.62,0
60,CASH_OUT,5323.83,C44986,40088.66,C55810,667340.6,34764.83,672664.4299999999,0
71,PAYMENT,81067.11,C11692,29585.6,C51886,383886.85,0.0,464953.95999999996,0
44,CASH_IN,93376.83,C24508,45881.12,C10562,193463.63,0.0,286840.46,0
8,CASH_OUT,164763.79,C65814,64745.1,C66029,326575.6,0.0,491339.39,0
47,CASH_IN,160038.41,C40538,2632.35,C44046,266579.97,0.0,426618.38,0
35,TRANSFER,1014.45,C19007,38473.5,C67012,239625.55,37459.05,240640.0,0
78,PAYMENT,7385.16,C64987,3707.84,C45931,322940.56,0.0,330325.72,0
81,PAYMENT,115371.51,C28346,439200.72,C36537,235027.27,323829.20999999996,350398.77999999997,0
36,CASH_OUT,20195.39,C53304,816712.08,C37074,265208.62,796516.69,285404.01,0
50,PAYMENT,75105.63,C60413,312743.06,C34075,478013.59,237637.43,553119.22,0
4,PAYMENT,26359.86,C22588,110528.99,C42626,111449.7,84169.13,137809.56,0
2,CASH_OUT,179934.29,C61669,6086.5,C70853,47174.34,0.0,227108.63,0
6,PAYMENT,114226.88,C89241,305023.32,C50548,83896.39,190796.44,198123.27000000002,0
54,CASH_IN,57188.29,C43942,90203.52,C55343,49435.37,33015.23,106623.66,0
4,CASH_OUT,25443.05,C18085,48554.59,C67903,126167.75,23111.539999999997,151610.8,0
54,CASH_IN,107694.43,C38341,343792.83,C55243,73245.74,236098.40000000002,180940.16999999998,0
93,PAYMENT,43275.94,C63201,390.04,C90420,63840.9,0.0,107116.84,0
63,PAYMENT,88943.23,C85053,447505.04,C85985,155562.44,358561.81,244505.66999999998,0
18,TRANSFER,110293.21,C87913,69112.84,C13460,406970.64,0.0,517263.85000000003,0
90,CASH_OUT,14811.39,C71484,596492.51,C68268,617524.06,581681.12,632335.4500000001,0
44,PAYMENT,5051.44,C60820,84758.98,C94403,156164.77,79707.54,161216.21,0
34,TRANSFER,67987.51,C78509,34872.5,C87264,3295.5,0.0,71283.01,0
74,CASH_IN,17233.12,C88298,345502.35,C16357,91718.34,328269.23,108951.45999999999,0
62,PAYMENT,9394.82,C63186,176825.24,C13903,598359.53,167430.41999999998,607754.35,0
14,CASH_OUT,9326.54,C54929,636668.58,C99065,725553.92,627342.0399999999,734880.4600000001,0
95,CASH_OUT,121099.87,C79412,100615.06,C81799,530016.02,0.0,651115.89,0
48,PAYMENT,235669.07,C25829,503988.44,C72654,152290.95,268319.37,387960.02,0
15,CASH_OUT,268589.09,C66562,90848.44,C45837,18129.49,0.0,286718.58,0
72,CASH_OUT,274751.37,C44966,750027.11,C54658,147087.5,475275.74,421838.87,0
78,PAYMENT,111168.35,C86319,286207.44,C40233,155286.25,175039.09,266454.6,0
87,PAYMENT,260187.97,C53644,59877.29,C98312,29371.27,0.0,289559.24,0
62,CASH_IN,14138.63,C96017,88120.5,C56363,171189.84,73981.87,185328.47,0
40,PAYMENT,92007.15,C81034,260618.11,C81713,102039.52,168610.96,194046.66999999998,0
85,CASH_OUT,142710.79,C43397,173543.87,C34007,199277.89,30833.079999999987,341988.68000000005,0
80,CASH_OUT,286582.73,C96105,47771.8,C47649,293302.34,0.0,579885.0700000001,0
82,PAYMENT,39803.51,C18852,186981.55,C88785,255921.33,147178.03999999998,295724.83999999997,0
53,CASH_IN,87893.45,C91949,67135.52,C12110,836610.25,0.0,924503.7,0
24,PAYMENT,51676.89,C10825,108601.86,C54527,134273.6,56924.97,185950.49,0
26,PAYMENT,77277.24,C40191,283169.29,C78089,387440.93,205892.05,464718.17,0
89,CASH_OUT,70030.66,C74139,121710.29,C18512,955016.31,51679.62999999999,1025046.9700000001,0
60,PAYMENT,189505.15,C50497,13945.59,C51811,309960.46,0.0,499465.61,0
41,CASH_OUT,173765.11,C59854,9521.01,C36128,22671.21,0.0,196436.31999999998,0
29,CASH_IN,50238.16,C38222,55688.87,C35880,218284.86,5450.709999999999,268523.02,0
15,PAYMENT,32990.72,C25890,128450.34,C53831,104854.19,95459.62,137844.91,0
45,TRANSFER,190300.22,C63219,209463.98,C48203,90611.06,19163.76000000001,280911.28,0
65,PAYMENT,309352.24,C77934,42405.96,C70694,38153.64,0.0,347505.88,0
89,CASH_IN,1879.31,C77309,154780.69,C21551,206504.46,152901.38,208383.77,0
71,PAYMENT,69515.76,C48584,68139.61,C96273,309123.26,0.0,378639.02,0
9,PAYMENT,147629.45,C36242,184285.49,C96108,183652.71,36656.03999999998,331282.16000000003,0
88,CASH_OUT,426664.4,C97947,136401.97,C60214,242269.47,0.0,668933.87,0
1,TRANSFER,75613.19,C69169,2191.64,C61094,47322.83,0.0,122936.02,0
8,PAYMENT,126943.03,C24966,219715.06,C42179,70698.54,92772.03,197641.57,0
88,CASH_IN,270828.62,C90389,161813.54,C87197,152190.78,0.0,423019.4,0
63,PAYMENT,47035.65,C46054,299276.25,C21590,863207.48,252240.6,910243.13,0
11,TRANSFER,216126.41,C58333,195791.59,C88537,435474.69,0.0,651601.1,0
81,PAYMENT,30945.4,C74599,117706.84,C93411,202775.62,86761.44,233721.02,0
8,CASH_IN,129265.14,C81396,78295.35,C85828,314215.55,0.0,443480.69,0
35,PAYMENT,312154.28,C78400,46380.85,C43243,97741.0,0.0,409895.28,0
35,PAYMENT,104498.86,C51661,400612.19,C56239,65258.61,296113.33,169757.47,0
33,PAYMENT,47193.69,C11363,201598.24,C69301,299966.51,154404.55,347160.2,0
5,DEBIT,8114.59,C14318,384564.61,C53902,375463.66,376450.01999999996,383578.25,0
41,PAYMENT,22398.23,C70486,30698.28,C44795,3089.87,8300.05,25488.1,0
28,PAYMENT,130657.85,C73716,165955.96,C17896,107468.7,35298.109999999986,238126.55,0
7,CASH_OUT,457334.48,C99326,19141.3,C64443,190760.82,0.0,648095.3,0
73,TRANSFER,189545.59,C32574,85251.26,C76934,230742.29,0.0,420287.88,0
72,CASH_OUT,156772.28,C35884,215253.78,C49919,40133.93,58481.5,196906.21,0
12,CASH_OUT,1890.74,C69151,259767.6,C11828,103546.78,257876.86000000002,105437.52,0
34,PAYMENT,132309.94,C91277,45509.3,C93252,162383.48,0.0,294693.42000000004,0
33,CASH_OUT,175771.56,C37168,85139.52,C12288,440400.2,0.0,616171.76,0
48,PAYMENT,39303.77,C52512,117341.54,C49926,117441.9,78037.76999999999,156745.66999999998,0
23,TRANSFER,812332.61,C74895,59065.98,C43985,717849.31,0.0,1530181.92,0
62,CASH_OUT,3652.14,C73402,45709.13,C47187,58851.97,42056.99,62504.11,0
88,TRANSFER,49606.82,C18984,295770.46,C22936,232142.97,246163.64,281749.79,0
37,PAYMENT,23905.97,C38019,60193.26,C34480,288121.58,36287.29,312027.55000000005,0
99,PAYMENT,359503.82,C88106,85895.94,C66032,357709.62,0.0,717213.44,0
44,CASH_IN,111497.2,C58556,113696.37,C80087,43185.23,2199.1699999999983,154682.43,0
86,CASH_IN,53909.18,C55374,87264.27,C18938,4216.52,33355.090000000004,58125.7,0
91,PAYMENT,359743.42,C70533,297544.55,C90427,86514.88,0.0,446258.3,0
35,PAYMENT,6347.3,C49760,37195.82,C96004,137342.67,30848.52,143689.97,0
65,CASH_IN,24779.46,C91087,27722.55,C95888,18157.4,2943.09,42936.86,0
99,CASH_OUT,54915.21,C26183,175815.76,C55617,55964.14,120900.55000000002,110879.35,0
47,TRANSFER,13271.37,C47498,284312.83,C26096,78630.28,271041.46,91901.65,0
78,CASH_OUT,579013.26,C57211,825555.88,C56254,263883.31,246542.62,842896.5700000001,0
3,PAYMENT,85193.16,C88688,231621.14,C55764,80818.13,146427.98,166011.29,0
1,CASH_OUT,17690.63,C58953,82927.75,C67535,290547.23,65237.119999999995,308237.86,0
5,CASH_IN,28567.67,C18389,116878.92,C25402,362497.52,88311.25,391065.19,0
90,PAYMENT,50454.51,C79980,6029.82,C58653,512125.87,0.0,562580.38,0
14,CASH_OUT,129599.67,C22897,276808.99,C52634,286425.87,147209.32,416025.54,0
27,CASH_OUT,36255.98,C71649,148355.45,C34143,207858.84,112099.47,244114.82,0
9,CASH_IN,35367.19,C65445,43289.41,C78152,201437.51,7922.220000000001,236804.7,0
79,PAYMENT,98321.22,C46440,169104.44,C76066,591722.91,70783.22,690044.13,0
15,CASH_IN,4689.64,C72413,35323.15,C56168,450193.0,30633.510000000002,454882.64,0
90,PAYMENT,124468.76,C53764,205307.71,C50805,87756.38,80838.95,212225.14,0
42,TRANSFER,79334.28,C92282,34269.14,C40232,312574.13,0.0,391908.41000000003,0
77,PAYMENT,56914.67,C76662,58400.8,C51115,709162.49,1486.1300000000047,766077.16,0
51,CASH_IN,49919.25,C50402,218181.61,C98039,8230.66,168262.36,58149.91,0
63,PAYMENT,24984.18,C57864,392291.99,C71183,180397.06,367307.81,205381.24,0
96,CASH_IN,27482.9,C13008,12136.61,C10803,49911.22,0.0,77394.12,0
52,TRANSFER,69284.42,C81640,207980.89,C56959,203723.27,138696.47000000003,273007.69,0
96,CASH_IN,22096.16,C24385,124010.47,C90384,769408.99,101914.31,791505.15,0
4,PAYMENT,83861.78,C76641,131797.66,C58997,45932.21,47935.880000000005,129793.98999999999,0
94,PAYMENT,104894.98,C21969,35509.31,C44664,21140.72,0.0,126035.7,0
23,CASH_OUT,61220.6,C51543,63971.52,C41888,1100.88,2750.9199999999983,62321.479999999996,0
15,CASH_OUT,11313.81,C21312,297888.26,C98439,201182.5,286574.45,212496.31,0
43,TRANSFER,277378.81,C38677,35320.58,C15501,194328.24,0.0,471707.05,0
29,CASH_OUT,179125.04,C84260,429990.6,C84391,55478.73,250865.55999999997,234603.77000000002,0
36,PAYMENT,306910.88,C87830,79709.59,C99076,205616.54,0.0,512527.42000000004,0
13,CASH_OUT,45922.13,C60457,130996.15,C78656,18026.49,85074.01999999999,63948.619999999995,0
32,PAYMENT,3271.58,C56971,73599.01,C21581,79690.89,70327.43,82962.47,0
71,PAYMENT,57331.21,C14004,88882.14,C32536,432907.4,31550.93,490238.61000000004,0
59,CASH_IN,62561.22,C76557,123464.04,C26064,1158029.63,60902.81999999999,1220590.8499999999,0
86,TRANSFER,122596.29,C89419,725465.23,C92374,737777.36,602868.94,860373.65,0
28,CASH_OUT,132691.13,C41107,579074.78,C83515,50505.2,446383.65,183196.33000000002,0
66,PAYMENT,55297.6,C96609,358981.64,C85049,40504.71,303684.04000000004,95802.31,0
42,PAYMENT,378155.86,C78297,1600.81,C85209,83380.03,0.0,461535.89,0
45,TRANSFER,11907.61,C13424,137554.86,C47395,310464.95,125647.24999999999,322372.56,0
62,PAYMENT,232728.77,C72578,423071.33,C46100,322833.96,190342.56000000003,555562.73,0
57,PAYMENT,146928.03,C46118,67685.22,C71928,83980.47,0.0,230908.5,0
6,PAYMENT,76180.7,C25109,113505.57,C86833,91673.42,37324.87000000001,167854.12,0
28,PAYMENT,143787.77,C51414,103414.33,C27301,51739.75,0.0,195527.52,0
28,PAYMENT,140310.93,C58059,57039.39,C42738,89252.92,0.0,229563.84999999998,0
44,CASH_IN,18239.02,C95927,37970.78,C18974,421352.81,19731.76,439591.83,0
84,TRANSFER,76029.25,C92137,32806.28,C40311,147513.77,0.0,223543.02,0
30,CASH_OUT,63663.47,C66707,258428.91,C40037,528418.15,194765.44,592081.62,0
62,PAYMENT,68151.01,C86256,134427.96,C91538,255428.06,66276.95,323579.07,0
75,CASH_IN,18425.85,C39092,107850.86,C47256,231197.16,89425.01000000001,249623.01,0
92,PAYMENT,48611.14,C19348,22261.12,C33668,848582.35,0.0,897193.49,0
89,PAYMENT,73145.92,C18117,131344.26,C83115,576986.98,58198.34000000001,650132.9,0
62,PAYMENT,115281.29,C42348,13195.87,C97063,29264.44,0.0,144545.72999999998,0
97,TRANSFER,55019.69,C70938,3341.9,C52015,43104.99,0.0,98124.68,0
1,CASH_IN,104098.26,C11113,176837.05,C73661,199177.4,72738.79,303275.66,0
27,TRANSFER,96114.01,C28700,359792.4,C39655,112260.94,263678.39,208374.95,0
62,CASH_IN,167648.98,C58398,56543.9,C68488,191875.86,0.0,359524.83999999997,0
77,CASH_IN,53593.06,C93117,139647.87,C52105,380559.08,86054.81,434152.14,0
3,PAYMENT,206095.98,C72535,45744.67,C28630,568285.51,0.0,774381.49,0
70,PAYMENT,2663.38,C55169,42661.83,C84004,118220.73,39998.450000000004,120884.11,0
72,CASH_IN,231039.22,C14634,51964.04,C94864,77788.35,0.0,308827.57,0
27,PAYMENT,302189.48,C64706,235838.85,C91765,520182.28,0.0,822371.76,0
9,CASH_OUT,53186.78,C67006,75699.53,C27397,260346.53,22512.75,313533.31,0
62,CASH_IN,298234.51,C95394,275077.08,C20521,134644.66,0.0,432879.17000000004,0
37,CASH_OUT,199854.22,C24596,292509.83,C43055,173739.11,92655.61000000002,373593.32999999996,0
97,CASH_OUT,5873.25,C39633,90030.77,C52554,454730.52,84157.52,460603.77,0
51,CASH_IN,105388.16,C13734,108891.97,C85341,23594.62,3503.8099999999977,128982.78,0
44,CASH_OUT,249691.42,C52586,92120.68,C45292,214035.27,0.0,463726.69,1
24,TRANSFER,23076.71,C67113,28973.22,C15447,359923.31,5896.510000000002,383000.02,0
79,PAYMENT,253373.46,C91891,174087.48,C16766,126533.0,0.0,379906.45999999996,0
59,CASH_OUT,23184.0,C49399,313411.4,C60521,332379.92,290227.4,355563.92,0
32,CASH_IN,99770.89,C43108,179216.2,C43601,149893.23,79445.31000000001,249664.12,0
96,CASH_OUT,47901.92,C11031,433997.46,C87702,126094.83,386095.54000000004,173996.75,0
88,CASH_OUT,79425.62,C24375,130375.1,C36851,51820.09,50949.48000000001,131245.71,0
52,TRANSFER,33052.96,C66293,146943.59,C22648,401095.0,113890.63,434147.96,0
62,CASH_IN,52327.82,C36904,523128.74,C14919,758731.73,470800.92,811059.5499999999,0
58,PAYMENT,70006.81,C11735,145806.83,C59468,16815.88,75800.01999999999,86822.69,0
52,CASH_OUT,69693.64,C17060,575783.12,C95823,124354.6,506089.48,194048.24,0
12,CASH_IN,513622.07,C22701,159162.7,C46872,119834.56,0.0,633456.63,0
39,PAYMENT,192913.36,C91809,97943.79,C54744,76344.91,0.0,269258.27,0
2,CASH_IN,15925.7,C94460,104417.56,C63281,148594.67,88491.86,164520.37000000002,0
3,CASH_IN,323388.86,C86861,86950.69,C77774,158130.03,0.0,481518.89,0
56,CASH_IN,83968.87,C16362,17733.04,C43183,97763.48,0.0,181732.34999999998,0
81,TRANSFER,94111.95,C91481,4364.9,C16026,195667.72,0.0,289779.67,0
59,TRANSFER,32308.24,C99896,293058.64,C53645,622073.13,260750.40000000002,654381.37,0
2,CASH_OUT,36097.36,C71044,144752.28,C90234,450993.66,108654.92,487091.01999999996,0
2,PAYMENT,14838.14,C11063,303551.36,C40572,192610.32,288713.22,207448.46000000002,0
92,PAYMENT,176964.43,C32752,31124.97,C76542,56136.7,0.0,233101.13,0
54,CASH_IN,66042.63,C70733,181967.87,C23709,8404.98,115925.23999999999,74447.61,0
87,CASH_OUT,10266.7,C86023,358784.16,C40428,28339.97,348517.45999999996,38606.67,0
96,PAYMENT,58753.62,C33212,28099.16,C85818,135315.72,0.0,194069.34,0
97,PAYMENT,41627.42,C78365,51989.01,C44293,39445.79,10361.590000000004,81073.20999999999,0
1,CASH_OUT,117131.85,C99233,89758.58,C20000,98998.28,0.0,216130.13,0
19,CASH_IN,20650.67,C97681,39890.46,C87597,21264.28,19239.79,41914.95,0
2,TRANSFER,273794.91,C46159,256442.91,C48143,434744.62,0.0,708539.53,0
53,PAYMENT,151941.28,C41203,145310.38,C76236,75435.5,0.0,227376.78,0
44,CASH_OUT,49677.57,C49122,20954.27,C22208,148932.06,0.0,198609.63,0
90,PAYMENT,20844.29,C72888,3699.43,C96003,362909.99,0.0,383754.27999999997,0
32,PAYMENT,145889.33,C56056,272282.03,C25018,40641.64,126392.70000000004,186530.96999999997,0
70,CASH_OUT,12621.68,C44620,8786.38,C58955,326847.04,0.0,339468.72,0
32,TRANSFER,9142.48,C86877,33993.37,C18420,317384.64,24850.890000000003,326527.12,0
68,CASH_OUT,113902.37,C69684,161425.84,C48977,327211.58,47523.47,441113.95,0
55,CASH_IN,22350.56,C73999,224168.43,C25892,88759.42,201817.87,111109.98,0
75,TRANSFER,103024.23,C27591,360985.76,C93414,6918.07,257961.53000000003,109942.29999999999,0
56,CASH_IN,43898.73,C59736,14381.92,C64738,252246.68,0.0,296145.41,0
17,CASH_IN,10077.69,C96417,632837.79,C50845,819931.4,622760.1000000001,830009.09,0
38,CASH_OUT,97942.81,C42616,54930.44,C19414,251233.65,0.0,349176.45999999996,0
24,PAYMENT,103958.16,C96988,19871.56,C40994,116193.14,0.0,220151.3,0
69,CASH_IN,77685.19,C55709,114279.0,C10677,86108.26,36593.81,163793.45,0
98,CASH_IN,42904.99,C88399,641466.25,C72056,46249.76,598561.26,89154.75,0
70,TRANSFER,245188.53,C76009,94265.71,C78218,202251.05,0.0,447439.57999999996,0
86,CASH_OUT,114017.45,C39977,273025.81,C36608,243755.33,159008.36,357772.77999999997,0
11,PAYMENT,80827.82,C87364,45201.91,C42951,154749.25,0.0,235577.07,0
16,PAYMENT,65591.99,C37749,32040.74,C51724,219448.13,0.0,285040.12,0
97,TRANSFER,185163.2,C34068,5189.07,C58116,98079.22,0.0,283242.42000000004,0
73,PAYMENT,325092.79,C94804,51742.93,C36035,74047.93,0.0,399140.72,0
59,PAYMENT,81474.12,C18964,61305.78,C54423,366097.02,0.0,447571.14,0
70,TRANSFER,5068.46,C23585,45892.53,C88477,283196.59,40824.07,288265.05000000005,0
80,CASH_IN,67577.45,C25037,34155.27,C63450,285618.28,0.0,353195.73000000004,0
93,CASH_IN,103708.72,C64633,237593.79,C67519,8795.68,133885.07,112504.4,0
3,CASH_IN,170118.8,C80228,133147.7,C52408,25448.34,0.0,195567.13999999998,0
20,TRANSFER,37181.11,C17602,50572.72,C85524,133055.42,13391.61,170236.53000000003,0
59,CASH_OUT,112854.15,C21544,233243.36,C28528,8697.26,120389.20999999999,121551.40999999999,0
36,CASH_IN,4737.31,C26764,42474.97,C11590,354934.22,37737.66,359671.52999999997,0
19,CASH_OUT,43300.96,C28745,37175.63,C35963,336518.22,0.0,379819.18,0
90,PAYMENT,35518.32,C63177,233988.46,C75867,220881.73,198470.13999999998,256400.05000000002,0
67,TRANSFER,8948.16,C52597,578314.35,C36963,19163.69,569366.19,28111.85,0
19,CASH_IN,121047.85,C20109,464862.47,C50778,24170.23,343814.62,145218.08000000002,0
20,PAYMENT,45960.08,C99549,213394.68,C53422,134853.35,167434.59999999998,180813.43,0
96,PAYMENT,24575.91,C68672,586780.33,C99066,128737.81,562204.4199999999,153313.72,0
71,TRANSFER,15914.26,C99960,245334.56,C91879,51681.02,229420.3,67595.28,0
52,CASH_IN,234019.13,C18042,29232.53,C67979,169454.07,0.0,403473.2,0
33,PAYMENT,14939.81,C88505,575704.88,C13533,38070.59,560765.07,53010.399999999994,0
40,CASH_OUT,200756.3,C97855,266506.06,C22793,286344.92,65749.76000000001,487101.22,0
39,PAYMENT,73334.7,C42568,55439.98,C49400,84547.55,0.0,157882.25,0
82,CASH_OUT,3163.6,C16557,158553.93,C87348,106027.68,155390.33,109191.28,0
1,CASH_OUT,317584.26,C12901,1157.6,C72141,190628.9,0.0,508213.16000000003,0
11,PAYMENT,80532.92,C37593,161561.85,C77295,57249.56,81028.93000000001,137782.47999999998,0
92,CASH_IN,38216.08,C80103,162369.18,C29230,27095.41,124153.09999999999,65311.490000000005,0
57,CASH_IN,31228.44,C56939,202921.49,C50829,123938.18,171693.05,155166.62,0
89,PAYMENT,38158.8,C86911,300978.71,C30345,183784.56,262819.91000000003,221943.36,0
50,PAYMENT,24188.2,C80472,103589.11,C41440,493626.55,79400.91,517814.75,0
23,PAYMENT,28171.31,C15080,325727.79,C37331,360387.11,297556.48,388558.42,0
31,CASH_IN,47658.63,C10442,453996.91,C99827,206848.01,406338.27999999997,254506.64,0
94,PAYMENT,73531.5,C98719,52740.14,C17763,31558.67,0.0,105090.17,0
42,PAYMENT,129349.77,C39114,231750.98,C75846,201802.75,102401.21,331152.52,0
99,TRANSFER,36112.48,C79642,36032.15,C53980,81696.01,0.0,117808.48999999999,0
7,PAYMENT,14526.44,C93888,76632.25,C55549,91958.32,62105.81,106484.76000000001,0
16,PAYMENT,2079.56,C85966,18059.56,C37094,16129.17,15980.000000000002,18208.73,0
90,CASH_OUT,46539.69,C14616,138570.54,C68443,20097.83,92030.85,66637.52,0
60,PAYMENT,156503.77,C93515,149885.92,C87391,127675.0,0.0,284178.77,0
2,CASH_IN,39877.97,C22081,34175.56,C32685,225474.99,0.0,265352.95999999996,0
1,CASH_IN,24482.7,C27440,127759.93,C53638,116211.97,103277.23,140694.67,0
48,TRANSFER,242613.27,C30848,304732.65,C34220,444646.22,62119.380000000034,687259.49,0
12,CASH_OUT,108557.34,C47378,66726.93,C76346,42856.75,0.0,151414.09,0
69,CASH_OUT,371567.5,C73087,67542.02,C38810,485084.61,0.0,856652.11,0
37,CASH_OUT,82288.42,C61321,415482.24,C84439,21696.27,333193.82,103984.69,0
32,PAYMENT,77846.35,C64035,101600.59,C70879,123514.42,23754.23999999999,201360.77000000002,0
9,PAYMENT,357423.73,C77957,272800.92,C26680,228518.86,0.0,585942.59,0
99,CASH_IN,94331.14,C16271,355256.16,C63687,138360.52,260925.01999999996,232691.65999999997,0
19,PAYMENT,72305.72,C99988,103333.98,C39213,104115.67,31028.259999999995,176421.39,0
48,CASH_OUT,27275.39,C51064,324299.18,C52195,235190.93,297023.79,262466.32,0
80,CASH_OUT,48278.4,C73954,244681.64,C99695,128773.82,196403.24000000002,177052.22,0
3,PAYMENT,82570.65,C53195,53319.38,C21022,56068.57,0.0,138639.22,0
20,CASH_OUT,83076.92,C41457,31466.64,C52285,188484.65,0.0,271561.57,0
24,CASH_IN,60781.69,C64954,135417.64,C74331,78993.44,74635.95000000001,139775.13,0
54,PAYMENT,116935.65,C50587,103775.95,C94700,138616.9,0.0,255552.55,0
33,CASH_IN,17069.08,C93402,242854.7,C84084,22071.98,225785.62,39141.06,0
24,PAYMENT,202102.62,C68223,357060.03,C54374,36342.39,154957.41000000003,238445.01,0
